mapID,map_file_id,depth
8,1,0
34,1,0
64,1,0
79,1,0
80,1,0
98,1,0
106,1,0
113,1,0
123,1,0
138,1,0
159,1,0
216,1,0
222,1,0
302,1,0
322,1,0
325,1,0
326,1,0
340,1,0
367,1,0
379,1,0
392,1,0
405,1,0
407,1,0
457,1,0
533,1,0
570,1,0
589,1,0
614,1,0
620,1,0
624,1,0
652,1,0
662,1,0
683,1,0
759,1,0
772,1,0
786,1,0
829,1,0
844,1,0
851,1,0
910,1,0
918,1,0
944,1,0
985,1,0
989,1,0
1036,1,0
1085,1,0
1138,1,0
1193,1,0
1266,1,0
1288,1,0
1299,1,0
1312,1,0
1318,1,0
1341,1,0
1382,1,0
1393,1,0
1396,1,0
1441,1,0
1447,1,0
1477,1,0
1542,1,0
1631,1,0
1656,1,0
1673,1,0
1690,1,0
1695,1,0
1710,1,0
1724,1,0
1736,1,0
1745,1,0
1809,1,0
1833,1,0
1880,1,0
1881,1,0
1887,1,0
1892,1,0
1894,1,0
1899,1,0
1931,1,0
1934,1,0
1936,1,0
1949,1,0
1954,1,0
1960,1,0
1993,1,0
2033,1,0
2099,1,0
2122,1,0
2178,1,0
2200,1,0
2202,1,0
2205,1,0
2216,1,0
2256,1,0
2297,1,0
2304,1,0
2360,1,0
2376,1,0
2419,1,0
2420,1,0
2435,1,0
2460,1,0
2547,1,0
2563,1,0
2641,1,0
2667,1,0
2739,1,0
2755,1,0
2768,1,0
2881,1,0
2885,1,0
2898,1,0
2958,1,0
2961,1,0
2991,1,0
2997,1,0
3008,1,0
3013,1,0
3017,1,0
3022,1,0
3027,1,0
3070,1,0
3108,1,0
3141,1,0
3183,1,0
3206,1,0
3240,1,0
3321,1,0
3329,1,0
3364,1,0
3463,1,0
3495,1,0
3511,1,0
3523,1,0
3547,1,0
3551,1,0
3617,1,0
3636,1,0
3666,1,0
3678,1,0
3712,1,0
3715,1,0
3739,1,0
3744,1,0
3745,1,0
3759,1,0
3767,1,0
3770,1,0
3820,1,0
3830,1,0
3842,1,0
3873,1,0
3876,1,0
3968,1,0
3981,1,0
4021,1,0
4034,1,0
4049,1,0
4061,1,0
4073,1,0
4079,1,0
4123,1,0
4150,1,0
4157,1,0
4179,1,0
4182,1,0
4243,1,0
4286,1,0
4297,1,0
4333,1,0
4357,1,0
4385,1,0
4394,1,0
4398,1,0
4410,1,0
4414,1,0
4448,1,0
4456,1,0
4464,1,0
4472,1,0
4492,1,0
4493,1,0
4551,1,0
4554,1,0
4651,1,0
4670,1,0
4674,1,0
4728,1,0
4776,1,0
4867,1,0
4889,1,0
4914,1,0
4915,1,0
4964,1,0
5010,1,0
5088,1,0
5097,1,0
5098,1,0
5107,1,0
5169,1,0
5207,1,0
5227,1,0
5235,1,0
5267,1,0
5291,1,0
5299,1,0
5326,1,0
5348,1,0
5379,1,0
5466,1,0
5626,1,0
5633,1,0
5638,1,0
5668,1,0
5681,1,0
5692,1,0
5711,1,0
5775,1,0
5777,1,0
5850,1,0
5902,1,0
5906,1,0
5919,1,0
5948,1,0
